                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91894,                0.45374,                0.84849,                0.81401,                 0.8075,                0.82681,                0.56659,                0.91762,                0.43529,                0.87887,              0.0090128,              0.0090128,              0.0090128
                     37,                0.92395,                0.45446,                0.85017,                0.80178,                0.80937,                0.82619,                0.56835,                 0.9178,                0.43463,                0.87955,              0.0089875,              0.0089875,              0.0089875
                     38,                0.91956,                0.45327,                0.84901,                0.81983,                0.78655,                0.82528,                0.57154,                0.91059,                 0.4306,                0.87749,              0.0089594,              0.0089594,              0.0089594
                     39,                0.91498,                 0.4505,                0.84771,                0.80416,                0.80741,                0.83101,                0.57267,                 0.9117,                0.43164,                0.87801,              0.0089282,              0.0089282,              0.0089282
                     40,                0.91152,                0.44838,                0.84941,                0.79914,                0.80918,                0.83095,                0.57384,                0.91041,                0.43111,                0.87823,              0.0089031,              0.0089031,              0.0089031
                     41,                0.90946,                0.44793,                0.84832,                0.80301,                0.81082,                0.82748,                0.57287,                0.90985,                0.42836,                0.87767,               0.008875,               0.008875,               0.008875
                     42,                0.91018,                0.44634,                0.84746,                0.80941,                0.80422,                0.82096,                0.56817,                0.90616,                0.42796,                0.87603,              0.0088469,              0.0088469,              0.0088469
                     43,                0.91269,                0.44922,                0.84769,                0.81356,                0.80913,                 0.8367,                0.57679,                0.90814,                0.42687,                0.87737,              0.0088188,              0.0088188,              0.0088188
                     44,                0.90618,                0.44431,                0.84591,                0.81164,                0.81019,                0.83633,                0.57758,                0.90591,                0.42361,                0.87618,              0.0087872,              0.0087872,              0.0087872
                     45,                 0.9059,                 0.4431,                0.84654,                0.80869,                0.80713,                0.83875,                 0.5808,                0.90846,                0.42548,                0.87688,               0.008759,               0.008759,               0.008759
                     46,                0.90123,                0.44214,                0.84571,                0.80427,                0.81571,                0.83828,                0.58272,                0.90546,                0.42222,                0.87643,              0.0087308,              0.0087308,              0.0087308
                     47,                0.90279,                0.44315,                0.84665,                0.81016,                0.81689,                0.82999,                0.57618,                0.90172,                0.42064,                0.87518,              0.0087026,              0.0087026,              0.0087026
                     48,                0.90071,                0.44055,                0.84595,                0.81218,                0.80936,                0.83093,                0.58004,                0.89816,                0.42074,                0.87399,              0.0086781,              0.0086781,              0.0086781
                     49,                0.90489,                0.44161,                0.84518,                0.81108,                0.80837,                0.83025,                0.57727,                0.89936,                0.42064,                  0.873,                0.00865,                0.00865,                0.00865
                     50,                0.90101,                0.43979,                0.84538,                0.80415,                0.81887,                0.83285,                0.57877,                0.89514,                0.41774,                0.87157,              0.0086219,              0.0086219,              0.0086219
                     51,                0.89659,                0.43746,                0.84495,                0.81049,                0.81416,                0.83485,                0.58048,                0.89474,                0.41805,                0.87226,              0.0085938,              0.0085938,              0.0085938
                     52,                0.89522,                0.43638,                0.84574,                0.81401,                0.80572,                0.83214,                0.58084,                0.89499,                 0.4149,                0.87274,              0.0085656,              0.0085656,              0.0085656
                     53,                0.89613,                0.43561,                0.84624,                0.80856,                 0.8177,                0.83397,                0.58177,                0.89441,                0.41315,                0.87278,              0.0085375,              0.0085375,              0.0085375
                     54,                0.89517,                0.43746,                0.84322,                0.80878,                 0.8217,                0.83818,                0.58694,                0.89121,                0.41227,                0.87064,              0.0085094,              0.0085094,              0.0085094
                     55,                0.89197,                0.43489,                0.84364,                0.80642,                0.82193,                0.83683,                0.58638,                0.89138,                0.41248,                0.87038,              0.0084813,              0.0084813,              0.0084813
                     56,                  0.894,                0.43577,                0.84536,                0.80946,                0.82036,                0.83711,                0.58307,                0.89321,                0.41286,                0.87117,              0.0084575,              0.0084575,              0.0084575
                     57,                0.89399,                0.43405,                0.84382,                0.81858,                0.81801,                 0.8391,                0.58384,                0.89071,                0.41082,                0.87067,              0.0084295,              0.0084295,              0.0084295
                     58,                0.88823,                0.43229,                0.84317,                0.82066,                0.81496,                   0.84,                0.58414,                0.89013,                0.40974,                0.87073,              0.0084014,              0.0084014,              0.0084014
                     59,                0.89276,                0.43261,                0.84363,                0.81122,                 0.8252,                 0.8396,                0.58598,                0.88847,                0.40872,                0.87005,              0.0083734,              0.0083734,              0.0083734
                     60,                0.88605,                0.43113,                0.84151,                0.81739,                0.81963,                0.84032,                0.58729,                0.88698,                0.40864,                0.86935,              0.0083453,              0.0083453,              0.0083453
                     61,                 0.8903,                0.43196,                0.84249,                0.81844,                0.81945,                  0.841,                 0.5892,                0.88731,                0.40892,                0.86942,              0.0083173,              0.0083173,              0.0083173
                     62,                0.89034,                0.43317,                0.84358,                0.81485,                0.82294,                0.84136,                0.59004,                0.88763,                  0.409,                0.86986,              0.0082892,              0.0082892,              0.0082892
                     63,                0.88538,                0.42867,                0.84346,                0.81261,                0.82985,                0.84311,                0.59136,                 0.8866,                0.40718,                0.86935,              0.0082612,              0.0082612,              0.0082612
                     64,                 0.8883,                0.43097,                0.84248,                0.82264,                  0.822,                0.84351,                0.59096,                0.88593,                0.40598,                0.86934,              0.0082381,              0.0082381,              0.0082381
                     65,                0.88618,                0.43087,                0.84265,                0.81321,                0.82929,                0.84425,                0.59113,                0.88534,                0.40587,                0.86905,              0.0082102,              0.0082102,              0.0082102
                     66,                0.88493,                0.42871,                0.84144,                0.81665,                0.82672,                0.84422,                0.59071,                0.88507,                0.40577,                0.86872,              0.0081771,              0.0081771,              0.0081771
                     67,                0.88403,                0.42886,                0.84212,                0.81876,                0.82451,                0.84205,                0.58973,                 0.8853,                0.40553,                0.86906,              0.0081542,              0.0081542,              0.0081542
                     68,                0.88251,                0.42854,                0.84326,                0.81705,                0.82288,                0.84116,                0.58873,                0.88571,                0.40484,                0.86897,              0.0081263,              0.0081263,              0.0081263
                     69,                0.87917,                0.42595,                0.84318,                0.82043,                0.82331,                0.84375,                0.59121,                0.88495,                0.40381,                0.86883,              0.0080983,              0.0080983,              0.0080983
                     70,                0.88008,                0.42715,                0.84211,                 0.8224,                0.82206,                0.84315,                0.59172,                 0.8836,                0.40378,                0.86871,              0.0080703,              0.0080703,              0.0080703
                     71,                0.87709,                0.42498,                 0.8429,                0.82245,                0.82587,                0.84386,                0.59154,                0.88404,                0.40365,                0.86904,              0.0080424,              0.0080424,              0.0080424
                     72,                0.87839,                0.42533,                0.84223,                0.82021,                0.82689,                0.84274,                0.59144,                0.88411,                0.40325,                0.86899,              0.0080144,              0.0080144,              0.0080144
                     73,                0.87492,                0.42412,                0.84042,                0.82887,                0.82028,                0.84409,                0.59186,                0.88389,                0.40289,                0.86917,              0.0079864,              0.0079864,              0.0079864
                     74,                0.87438,                0.42252,                0.84126,                0.82416,                0.82221,                0.84436,                0.59217,                0.88311,                0.40276,                0.86891,              0.0079585,              0.0079585,              0.0079585
                     75,                0.87734,                 0.4234,                 0.8422,                0.82808,                0.82082,                0.84542,                0.59232,                0.88253,                0.40224,                0.86882,              0.0079305,              0.0079305,              0.0079305
                     76,                0.87474,                0.42298,                0.84161,                0.82267,                0.82775,                0.84598,                0.59225,                0.88103,                  0.402,                0.86865,              0.0079025,              0.0079025,              0.0079025
                     77,                0.87351,                0.42252,                0.84176,                0.82096,                0.83039,                0.84599,                0.59209,                0.88047,                0.40213,                0.86846,              0.0078746,              0.0078746,              0.0078746
                     78,                0.87508,                0.42313,                0.84025,                0.81994,                0.83169,                0.84648,                0.59252,                0.88072,                0.40231,                0.86833,              0.0078527,              0.0078527,              0.0078527
                     79,                0.87395,                 0.4223,                0.83988,                0.81664,                0.83234,                0.84671,                0.59218,                 0.8804,                0.40253,                0.86823,              0.0078248,              0.0078248,              0.0078248
                     80,                 0.8688,                0.41965,                0.83911,                0.81906,                0.83308,                  0.847,                0.59239,                0.87999,                 0.4017,                0.86817,              0.0077907,              0.0077907,              0.0077907
                     81,                0.87162,                0.42241,                0.84016,                0.82062,                0.83241,                 0.8464,                0.59236,                0.87973,                0.40129,                0.86802,              0.0077627,              0.0077627,              0.0077627
                     82,                 0.8719,                0.42037,                0.83977,                0.82124,                0.83279,                0.84637,                0.59254,                0.87987,                0.40131,                0.86793,              0.0077347,              0.0077347,              0.0077347
                     83,                0.87139,                   0.42,                 0.8393,                0.81936,                0.83273,                0.84681,                0.59342,                0.87985,                0.40076,                0.86787,              0.0077068,              0.0077068,              0.0077068
                     84,                0.87269,                0.42028,                 0.8397,                0.82168,                0.83133,                0.84749,                0.59443,                0.87966,                0.40075,                0.86771,              0.0076788,              0.0076788,              0.0076788
                     85,                0.86734,                0.41786,                0.83931,                0.82271,                0.83228,                0.84785,                0.59452,                0.87966,                 0.4006,                0.86769,              0.0076508,              0.0076508,              0.0076508
                     86,                 0.8688,                0.41775,                0.84096,                 0.8202,                0.83189,                0.84744,                0.59515,                0.87939,                0.39994,                0.86763,              0.0076229,              0.0076229,              0.0076229
                     87,                0.86583,                0.41772,                0.83902,                0.82005,                0.83129,                0.84781,                0.59454,                0.87915,                0.39974,                0.86751,              0.0075949,              0.0075949,              0.0075949
                     88,                0.86842,                0.41872,                0.83927,                0.81825,                0.83288,                0.84777,                0.59481,                0.87864,                0.39946,                0.86732,              0.0075738,              0.0075738,              0.0075738
                     89,                0.86648,                0.41714,                0.84021,                0.82083,                0.83125,                0.84754,                0.59487,                0.87843,                0.39942,                0.86727,              0.0075459,              0.0075459,              0.0075459
                     90,                0.86184,                0.41532,                0.83827,                0.81992,                0.83275,                0.84805,                0.59519,                0.87823,                0.39917,                0.86715,               0.007518,               0.007518,               0.007518
                     91,                0.86051,                0.41647,                0.83853,                0.81786,                0.83415,                0.84838,                0.59558,                0.87809,                0.39907,                 0.8671,              0.0074901,              0.0074901,              0.0074901
                     92,                0.86255,                0.41472,                0.83865,                0.82003,                0.83254,                0.84848,                0.59577,                0.87767,                 0.3989,                  0.867,              0.0074623,              0.0074623,              0.0074623
                     93,                0.86112,                0.41552,                0.83664,                0.82143,                0.83272,                0.84861,                0.59553,                0.87763,                0.39862,                0.86704,              0.0074344,              0.0074344,              0.0074344
                     94,                0.86413,                0.41545,                 0.8391,                0.82174,                0.83401,                0.84857,                0.59529,                0.87742,                0.39818,                0.86693,              0.0074065,              0.0074065,              0.0074065
                     95,                0.86097,                 0.4145,                0.83756,                0.82168,                0.83441,                0.84892,                 0.5962,                0.87735,                0.39819,                0.86698,              0.0073786,              0.0073786,              0.0073786
                     96,                0.86152,                0.41493,                0.83767,                 0.8195,                0.83535,                0.84851,                0.59603,                0.87724,                0.39798,                0.86686,              0.0073507,              0.0073507,              0.0073507
                     97,                0.85841,                0.41256,                0.83743,                0.82088,                0.83444,                0.84898,                0.59644,                0.87698,                0.39765,                0.86674,              0.0073228,              0.0073228,              0.0073228
                     98,                0.85958,                0.41308,                0.83691,                0.82002,                0.83473,                0.84931,                0.59699,                0.87651,                0.39757,                 0.8666,              0.0072949,              0.0072949,              0.0072949
                     99,                0.85857,                0.41331,                0.83757,                0.82222,                0.83474,                0.84971,                0.59739,                0.87625,                0.39735,                0.86642,               0.007267,               0.007267,               0.007267
                    100,                 0.8586,                0.41106,                0.83823,                0.82071,                0.83513,                0.84957,                0.59717,                0.87631,                0.39692,                0.86642,              0.0072392,              0.0072392,              0.0072392
                    101,                0.85643,                0.41164,                0.83764,                0.82135,                0.83549,                0.84997,                0.59717,                0.87599,                0.39705,                0.86631,              0.0072113,              0.0072113,              0.0072113
                    102,                0.85601,                0.41301,                0.83889,                 0.8211,                0.83397,                0.84889,                 0.5967,                0.87607,                0.39692,                0.86632,              0.0071834,              0.0071834,              0.0071834
                    103,                0.85527,                0.41188,                0.83729,                0.82168,                0.83412,                0.84927,                0.59656,                0.87611,                 0.3971,                0.86628,              0.0071555,              0.0071555,              0.0071555
                    104,                 0.8569,                0.41221,                0.83808,                0.82086,                 0.8343,                0.84919,                0.59681,                0.87589,                0.39678,                 0.8662,              0.0071276,              0.0071276,              0.0071276
                    105,                0.85477,                0.40897,                0.83685,                 0.8223,                0.83418,                0.84945,                0.59722,                0.87581,                0.39666,                0.86615,              0.0070997,              0.0070997,              0.0070997
                    106,                0.85035,                0.40829,                0.83674,                0.82084,                0.83485,                0.84957,                0.59761,                0.87558,                0.39649,                0.86615,              0.0070718,              0.0070718,              0.0070718
                    107,                0.85054,                0.40876,                0.83584,                0.82136,                0.83563,                0.84983,                0.59731,                0.87535,                0.39621,                0.86605,              0.0070439,              0.0070439,              0.0070439
                    108,                0.85281,                0.40964,                0.83831,                0.81994,                0.83621,                0.85039,                0.59763,                0.87517,                0.39617,                0.86599,              0.0070161,              0.0070161,              0.0070161
                    109,                0.85412,                 0.4104,                0.83746,                0.82277,                0.83539,                0.85068,                0.59807,                0.87507,                0.39617,                0.86597,              0.0069966,              0.0069966,              0.0069966
                    110,                0.85623,                0.41166,                0.83933,                0.82236,                0.83568,                0.85118,                 0.5985,                0.87496,                0.39614,                0.86597,              0.0069603,              0.0069603,              0.0069603
                    111,                0.84666,                0.40456,                0.83573,                 0.8214,                0.83508,                0.85113,                0.59842,                0.87478,                0.39616,                0.86596,              0.0069324,              0.0069324,              0.0069324
                    112,                0.84817,                0.40563,                0.83649,                0.82221,                0.83473,                 0.8514,                 0.5986,                0.87467,                0.39607,                0.86592,              0.0069045,              0.0069045,              0.0069045
                    113,                0.84862,                0.40694,                0.83619,                0.82379,                0.83542,                0.85167,                 0.5986,                0.87444,                0.39585,                0.86586,              0.0068766,              0.0068766,              0.0068766
                    114,                0.85192,                0.41101,                0.83631,                0.81975,                0.83659,                0.85146,                0.59852,                0.87437,                0.39581,                0.86583,              0.0068487,              0.0068487,              0.0068487
                    115,                0.84419,                0.40483,                0.83443,                0.82145,                0.83572,                0.85162,                0.59874,                0.87429,                0.39585,                0.86576,              0.0068208,              0.0068208,              0.0068208
