                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.95428,                0.48212,                 0.8871,                0.81892,                0.79403,                0.83036,                0.57261,                0.91029,                0.44218,                0.86908,             0.00073704,             0.00073704,             0.00073704
                     37,                0.94743,                0.47371,                0.88562,                 0.7975,                0.80217,                0.82495,                0.56855,                0.90697,                0.44317,                0.86701,             0.00072604,             0.00072604,             0.00072604
                     38,                0.94918,                0.47664,                0.88517,                0.81314,                0.80285,                 0.8304,                0.57197,                0.90823,                0.44103,                0.86644,             0.00071504,             0.00071504,             0.00071504
                     39,                0.94065,                0.47099,                0.88347,                0.80233,                0.80686,                0.82329,                0.56722,                0.91112,                0.43785,                0.86828,             0.00070404,             0.00070404,             0.00070404
                     40,                0.94476,                0.46949,                0.88503,                0.81312,                0.80184,                0.83236,                0.57541,                0.90599,                0.43831,                0.86631,             0.00069304,             0.00069304,             0.00069304
                     41,                0.94156,                0.46611,                  0.882,                0.81143,                0.79642,                0.83369,                0.57465,                0.90713,                 0.4376,                0.86673,             0.00068204,             0.00068204,             0.00068204
                     42,                0.94229,                0.46502,                0.88195,                0.82498,                0.81192,                0.83909,                0.57908,                0.89808,                0.43314,                0.86491,             0.00067104,             0.00067104,             0.00067104
                     43,                 0.9254,                0.46026,                0.88132,                0.83443,                0.78376,                0.83166,                0.57561,                 0.9033,                0.43904,                0.86671,             0.00066005,             0.00066005,             0.00066005
                     44,                0.93707,                0.46624,                0.88277,                0.80127,                0.81528,                0.82898,                0.57172,                0.90409,                0.43587,                0.86566,             0.00064905,             0.00064905,             0.00064905
                     45,                0.93721,                0.46181,                  0.881,                0.81573,                 0.7947,                0.83634,                0.57915,                0.89394,                0.43169,                0.86318,             0.00063805,             0.00063805,             0.00063805
                     46,                0.92558,                0.46249,                0.87805,                0.82014,                0.80159,                0.83329,                0.57803,                0.89621,                 0.4288,                0.86379,             0.00062705,             0.00062705,             0.00062705
                     47,                0.93291,                0.45837,                0.88074,                0.81142,                 0.8138,                0.83111,                0.57908,                0.89864,                0.42923,                0.86378,             0.00061605,             0.00061605,             0.00061605
                     48,                0.92867,                0.45999,                0.87939,                0.81665,                 0.8062,                0.82744,                0.57555,                0.89292,                0.42796,                0.86244,             0.00060505,             0.00060505,             0.00060505
                     49,                0.92808,                0.45861,                0.88077,                0.81445,                0.80929,                0.83744,                0.57853,                0.89859,                0.42747,                0.86485,             0.00059405,             0.00059405,             0.00059405
                     50,                0.92286,                0.45457,                0.87978,                0.81359,                0.80648,                0.83457,                0.58033,                0.89051,                0.42617,                0.86109,             0.00058305,             0.00058305,             0.00058305
                     51,                0.91853,                0.45116,                0.87727,                0.80386,                0.81791,                0.83196,                0.57929,                0.89209,                0.42373,                0.86225,             0.00057205,             0.00057205,             0.00057205
                     52,                0.91926,                0.44983,                0.88034,                0.81052,                0.81534,                0.83472,                0.58247,                0.88721,                0.42207,                0.86248,             0.00056105,             0.00056105,             0.00056105
