                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3714,                 1.7657,                0.91642,                 1.7676,                  2.551,                0.87392,                0.72279,                0.47046,                0.51466,                0.30768,                 1.1532,                 1.1258,                0.92428,                 1.4027,                 2.5969,                0.90174,              0.0033245,              0.0033245,              0.0033245
                      2,                 1.2428,                0.94276,                0.89745,                 1.6865,                 1.4562,                0.86782,                0.64473,                0.57947,                0.62268,                0.37265,                 1.1276,                0.95091,                 0.9227,                 1.3835,                 1.7323,                0.90892,              0.0066284,              0.0066284,              0.0066284
                      3,                 1.2484,                0.85935,                0.89892,                 1.7009,                 1.1443,                 0.8725,                0.64477,                0.51879,                 0.5812,                0.34434,                 1.1404,                 1.0027,                0.93936,                 1.4524,                 1.3623,                0.93663,              0.0099051,              0.0099051,              0.0099051
                      4,                 1.2001,                0.75055,                0.89844,                 1.6503,                0.90369,                0.87291,                0.62312,                0.65553,                0.66775,                0.40581,                 1.1157,                0.75264,                0.93171,                 1.4177,                0.92349,                0.93059,              0.0098731,              0.0098731,              0.0098731
                      5,                  1.143,                0.65779,                0.88983,                 1.5721,                0.77307,                 0.8659,                0.69435,                0.63863,                0.69206,                0.42981,                 1.0916,                0.66225,                 0.9277,                  1.393,                0.83305,                0.92678,              0.0098315,              0.0098315,              0.0098315
                      6,                 1.1027,                0.61523,                0.88266,                  1.522,                0.72241,                0.85897,                 0.7042,                0.66356,                0.69483,                0.43766,                  1.057,                0.60785,                0.91544,                  1.352,                0.73595,                0.91428,              0.0097903,              0.0097903,              0.0097903
                      7,                 1.0778,                0.58906,                 0.8802,                  1.485,                0.68761,                0.85639,                 0.6773,                0.67964,                0.69897,                0.44115,                 1.0628,                0.60431,                0.92085,                 1.3578,                0.75193,                0.92135,              0.0097494,              0.0097494,              0.0097494
                      8,                 1.0561,                0.56789,                0.87658,                  1.463,                 0.6682,                0.85423,                0.71009,                0.65789,                0.71664,                0.45125,                 1.0446,                0.57699,                0.91131,                 1.3397,                0.69367,                0.91243,              0.0097076,              0.0097076,              0.0097076
                      9,                  1.042,                0.55236,                0.87321,                  1.441,                0.64791,                0.85128,                0.70272,                0.70055,                0.73198,                0.46777,                 1.0229,                 0.5504,                0.90833,                 1.3165,                0.67577,                0.90975,              0.0096672,              0.0096672,              0.0096672
                     10,                 1.0254,                0.53981,                0.87036,                 1.4253,                0.63314,                0.84839,                0.73241,                0.69846,                0.74187,                0.47984,                 1.0221,                0.55468,                0.90779,                 1.2974,                0.66939,                0.90835,              0.0096256,              0.0096256,              0.0096256
                     11,                 1.0137,                0.52824,                0.86869,                 1.4087,                0.61799,                0.84698,                0.74566,                0.71656,                0.75118,                0.48522,                 1.0106,                0.53433,                0.90599,                 1.3045,                 0.6346,                0.90908,               0.009584,               0.009584,               0.009584
                     12,                 1.0054,                0.52302,                0.86784,                 1.3955,                0.61035,                0.84596,                0.72191,                0.73129,                0.75382,                0.48931,                 1.0051,                0.52386,                0.90122,                 1.2907,                0.64475,                0.90065,              0.0095444,              0.0095444,              0.0095444
                     13,                0.99644,                0.51405,                0.86414,                 1.3851,                0.59953,                0.84292,                0.73933,                 0.7296,                0.76184,                0.49936,                 0.9979,                0.51638,                 0.9024,                 1.2842,                0.61533,                0.90116,              0.0095029,              0.0095029,              0.0095029
                     14,                0.99252,                0.50934,                0.86481,                 1.3768,                0.59543,                0.84273,                0.74688,                0.73078,                0.76278,                0.49737,                0.98562,                 0.5156,                0.89897,                 1.2746,                0.61946,                0.89865,              0.0094615,              0.0094615,              0.0094615
                     15,                0.98289,                0.50363,                0.86437,                  1.365,                0.58545,                0.84232,                0.77659,                0.74058,                0.77119,                0.50309,                0.98305,                0.50082,                0.89663,                 1.2756,                0.59605,                0.89748,              0.0094201,              0.0094201,              0.0094201
                     16,                0.97314,                0.49788,                0.86161,                 1.3552,                0.57913,                0.84066,                0.75649,                0.73042,                0.76914,                0.50522,                0.97848,                0.49011,                0.89202,                 1.2588,                0.58547,                0.89119,              0.0093787,              0.0093787,              0.0093787
