                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.94001,                0.46899,                0.85619,                 1.3063,                0.54758,                0.83496,                 0.7769,                0.75392,                0.78532,                0.52748,                0.94103,                0.45953,                0.88938,                 1.2067,                0.54949,                0.88781,               0.007723,               0.007723,               0.007723
                     26,                0.93349,                0.46688,                0.85701,                 1.2988,                0.54494,                0.83541,                0.77292,                0.76786,                0.79554,                0.53252,                0.93917,                0.45237,                0.88871,                 1.2084,                0.53069,                0.88682,               0.007624,               0.007624,               0.007624
                     27,                0.93085,                0.46381,                0.85572,                  1.293,                0.53925,                  0.834,                0.78304,                0.78099,                0.80731,                0.54039,                0.93879,                0.44634,                0.88839,                 1.2068,                0.52606,                0.88614,               0.007525,               0.007525,               0.007525
                     28,                0.92903,                0.46035,                0.85496,                 1.2896,                0.53689,                0.83386,                0.79109,                0.77333,                 0.8047,                0.54074,                0.93251,                0.45301,                0.88417,                 1.2039,                 0.5269,                0.88458,               0.007426,               0.007426,               0.007426
                     29,                0.92579,                0.45837,                0.85296,                 1.2882,                  0.536,                0.83261,                0.79068,                0.77067,                0.79975,                0.53704,                0.93617,                0.44577,                0.88568,                 1.2027,                0.52237,                0.88446,               0.007327,               0.007327,               0.007327
                     30,                0.92104,                0.45708,                0.85371,                 1.2786,                0.53157,                 0.8326,                0.77012,                0.77774,                0.79911,                0.53708,                0.92427,                0.44566,                0.88249,                 1.1886,                0.52448,                0.88203,               0.007228,               0.007228,               0.007228
                     31,                0.92003,                0.45532,                0.85279,                 1.2786,                0.53029,                0.83121,                0.77866,                0.77811,                0.80539,                0.54524,                0.92875,                0.44858,                0.88182,                 1.1908,                0.52274,                0.88012,               0.007129,               0.007129,               0.007129
                     32,                0.91661,                0.45372,                0.85354,                 1.2741,                0.52753,                0.83216,                  0.791,                0.77165,                0.80493,                0.54182,                0.92741,                0.44181,                0.88492,                 1.1915,                0.51702,                0.88327,                0.00703,                0.00703,                0.00703
                     33,                0.91177,                0.44997,                0.85276,                 1.2696,                0.52505,                 0.8313,                0.76088,                0.78768,                0.80781,                0.54607,                0.91958,                0.44047,                0.88352,                 1.1807,                0.52235,                0.87942,               0.006931,               0.006931,               0.006931
                     34,                0.91033,                0.44799,                0.85029,                 1.2677,                0.52461,                0.82958,                0.77215,                0.78449,                0.80276,                0.54208,                0.91808,                0.43317,                0.88006,                 1.1838,                0.51972,                 0.8784,               0.006832,               0.006832,               0.006832
                     35,                0.91254,                0.44827,                0.85115,                 1.2696,                0.52301,                0.83027,                0.78968,                0.77454,                0.81158,                0.54695,                0.91684,                0.43223,                0.88039,                 1.1813,                 0.5179,                0.87967,               0.006733,               0.006733,               0.006733
                     36,                0.90352,                0.44421,                 0.8499,                 1.2586,                 0.5175,                0.82935,                0.78159,                0.77667,                0.81391,                0.54976,                0.91692,                 0.4318,                0.87827,                 1.1799,                0.51008,                0.87809,               0.006634,               0.006634,               0.006634
                     37,                0.90603,                0.44609,                0.85101,                  1.259,                0.52097,                0.82989,                0.78088,                0.78258,                0.81193,                0.55089,                0.91532,                0.43607,                0.87954,                 1.1749,                0.50407,                0.87785,               0.006535,               0.006535,               0.006535
                     38,                0.89846,                0.44011,                 0.8504,                 1.2486,                0.51433,                0.82896,                0.79455,                0.79205,                0.81437,                0.55161,                0.91375,                0.42628,                0.87985,                  1.177,                0.50829,                0.87778,               0.006436,               0.006436,               0.006436
                     39,                0.89729,                 0.4402,                0.84878,                 1.2495,                0.51418,                0.82795,                0.77194,                0.80172,                0.81544,                0.55432,                0.91145,                0.42443,                0.87887,                 1.1682,                0.50335,                0.87544,               0.006337,               0.006337,               0.006337
                     40,                0.89452,                0.43954,                0.84857,                 1.2451,                0.51282,                0.82687,                0.78843,                0.78069,                 0.8112,                0.54863,                0.91372,                0.42761,                0.87962,                 1.1724,                0.50861,                0.87504,               0.006238,               0.006238,               0.006238
                     41,                0.89446,                0.43666,                0.84779,                 1.2458,                0.51123,                0.82753,                0.77866,                0.79092,                0.81536,                0.55343,                0.90796,                 0.4262,                0.87691,                 1.1674,                0.50136,                0.87467,               0.006139,               0.006139,               0.006139
                     42,                0.89081,                0.43529,                0.84786,                 1.2402,                0.50796,                0.82729,                 0.7842,                0.79705,                0.81533,                0.55354,                0.90596,                0.42084,                0.87767,                 1.1671,                0.49987,                0.87473,                0.00604,                0.00604,                0.00604
                     43,                0.89103,                0.43425,                0.84676,                  1.245,                0.50862,                0.82631,                0.78484,                0.78864,                0.81672,                0.55487,                  0.906,                0.42613,                0.87776,                 1.1674,                0.49785,                0.87432,               0.005941,               0.005941,               0.005941
                     44,                0.88723,                0.43134,                 0.8456,                 1.2413,                 0.5036,                0.82556,                0.78587,                0.79023,                 0.8138,                0.55576,                0.90175,                0.42545,                0.87484,                 1.1603,                0.49777,                0.87314,               0.005842,               0.005842,               0.005842
                     45,                0.88443,                0.42966,                0.84556,                 1.2356,                0.50196,                0.82541,                 0.7789,                0.79826,                0.81511,                0.55597,                0.90146,                0.42116,                0.87553,                  1.164,                0.49905,                0.87317,               0.005743,               0.005743,               0.005743
                     46,                0.88987,                0.43248,                0.84642,                 1.2416,                0.50309,                0.82595,                0.78831,                0.79015,                 0.8114,                0.55412,                0.90015,                0.41942,                0.87561,                 1.1584,                0.49539,                0.87247,               0.005644,               0.005644,               0.005644
                     47,                0.88469,                0.43159,                0.84691,                 1.2344,                0.50497,                0.82641,                0.79117,                0.79627,                0.82543,                 0.5629,                 0.8972,                 0.4173,                0.87416,                  1.154,                0.49275,                0.87055,               0.005545,               0.005545,               0.005545
                     48,                0.87861,                0.42668,                 0.8458,                 1.2226,                0.49577,                 0.8251,                0.80068,                0.78346,                0.82179,                0.56129,                 0.8983,                0.41693,                0.87412,                 1.1575,                0.49505,                0.87112,               0.005446,               0.005446,               0.005446
                     49,                0.88025,                0.42601,                0.84626,                 1.2266,                0.49847,                0.82586,                0.78299,                0.79488,                0.82008,                0.55949,                0.89893,                0.41731,                0.87411,                  1.158,                0.49708,                0.87197,               0.005347,               0.005347,               0.005347
                     50,                0.88244,                0.42737,                0.84737,                 1.2314,                 0.4998,                0.82601,                0.78618,                0.79965,                0.82162,                0.56153,                0.89658,                0.41452,                0.87383,                 1.1556,                0.49264,                0.87138,               0.005248,               0.005248,               0.005248
                     51,                 0.8736,                0.42279,                0.84495,                 1.2199,                0.49435,                0.82435,                0.79797,                0.78341,                0.82031,                 0.5619,                0.89176,                0.41293,                0.87147,                 1.1511,                0.49151,                0.86976,               0.005149,               0.005149,               0.005149
                     52,                0.87747,                0.42458,                0.84533,                 1.2248,                 0.4939,                0.82541,                0.78728,                0.79609,                0.81902,                0.56113,                0.89062,                0.41226,                0.87143,                 1.1495,                0.48955,                   0.87,                0.00505,                0.00505,                0.00505
                     53,                0.86965,                0.42152,                0.84431,                 1.2174,                0.49194,                0.82376,                0.77969,                0.80691,                0.82088,                0.56317,                0.89037,                0.40826,                 0.8714,                 1.1491,                0.48343,                0.86956,               0.004951,               0.004951,               0.004951
                     54,                0.87139,                0.42126,                0.84456,                 1.2179,                0.49324,                0.82382,                0.78285,                 0.8028,                0.81937,                0.56141,                0.88907,                0.41041,                0.87065,                 1.1476,                0.48331,                0.86781,               0.004852,               0.004852,               0.004852
                     55,                0.86709,                0.41966,                0.84341,                 1.2116,                0.48793,                0.82321,                0.78312,                0.80807,                0.82514,                0.56599,                0.88941,                0.41118,                0.87073,                 1.1467,                 0.4803,                0.86802,               0.004753,               0.004753,               0.004753
                     56,                0.86829,                0.41886,                0.84336,                  1.218,                0.49192,                0.82341,                 0.7831,                0.80971,                0.82219,                0.56339,                0.88896,                0.40791,                 0.8705,                 1.1457,                0.48217,                0.86772,               0.004654,               0.004654,               0.004654
                     57,                0.86478,                0.41733,                0.84319,                 1.2088,                0.48724,                0.82267,                0.80008,                0.80187,                0.82484,                0.56512,                0.88779,                0.40751,                0.87043,                 1.1444,                0.47949,                0.86755,               0.004555,               0.004555,               0.004555
                     58,                0.86427,                0.41425,                0.84146,                 1.2089,                0.48422,                0.82224,                0.79848,                0.80327,                0.82694,                0.56679,                0.88787,                0.40913,                0.87027,                 1.1432,                0.48323,                0.86723,               0.004456,               0.004456,               0.004456
                     59,                0.86384,                0.41552,                0.84247,                 1.2114,                0.48575,                0.82263,                0.78665,                0.81025,                0.82414,                0.56511,                0.88765,                0.41201,                0.86992,                 1.1434,                0.48268,                 0.8674,               0.004357,               0.004357,               0.004357
                     60,                0.86256,                0.41476,                 0.8409,                 1.2078,                0.48522,                0.82107,                0.79333,                0.80145,                0.82153,                0.56361,                0.88672,                0.41182,                0.86976,                 1.1423,                0.48276,                0.86646,               0.004258,               0.004258,               0.004258
                     61,                0.86299,                0.41511,                0.84165,                 1.2088,                0.48564,                0.82236,                0.79857,                0.79497,                0.82316,                0.56606,                0.88676,                0.41099,                0.86959,                 1.1423,                0.48264,                0.86602,               0.004159,               0.004159,               0.004159
                     62,                 0.8588,                0.41173,                0.84159,                 1.2017,                0.48058,                0.82127,                0.80005,                0.79162,                0.82471,                 0.5668,                 0.8869,                0.40969,                0.86993,                 1.1413,                0.48419,                0.86606,                0.00406,                0.00406,                0.00406
                     63,                0.85874,                0.41024,                0.84287,                  1.199,                0.47951,                0.82201,                0.80751,                0.79036,                0.82623,                0.56842,                0.88556,                0.40712,                0.86971,                 1.1402,                 0.4826,                0.86651,               0.003961,               0.003961,               0.003961
                     64,                0.85501,                0.40883,                0.84013,                  1.199,                0.47834,                0.82026,                0.80685,                0.79613,                0.82607,                0.56897,                0.88378,                0.40755,                0.86898,                 1.1395,                0.48087,                0.86584,               0.003862,               0.003862,               0.003862
                     65,                0.84997,                 0.4065,                0.83951,                 1.1921,                0.47509,                   0.82,                0.79763,                 0.8036,                0.82659,                0.56941,                 0.8837,                 0.4068,                0.86892,                 1.1393,                0.47918,                0.86626,               0.003763,               0.003763,               0.003763
                     66,                0.85175,                0.40672,                0.83925,                 1.1923,                0.47582,                0.81933,                0.80505,                0.79805,                0.82657,                0.56957,                 0.8833,                0.40597,                0.86861,                  1.138,                0.47902,                0.86575,               0.003664,               0.003664,               0.003664
                     67,                0.84329,                 0.4039,                0.83905,                 1.1821,                0.47361,                0.81945,                0.79152,                0.81169,                0.82685,                0.56857,                0.88199,                0.40513,                0.86796,                  1.137,                0.47697,                 0.8653,               0.003565,               0.003565,               0.003565
