                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2208,                 1.0557,                0.90996,                0.69815,                0.68879,                0.72616,                0.45863,                 1.0431,                0.61844,                0.90444,              0.0033245,              0.0033245,              0.0033245
                      2,                 1.1171,                0.60716,                 0.8742,                0.73898,                0.71807,                0.76421,                 0.4968,                 1.0259,                0.56783,                0.89927,              0.0065919,              0.0065919,              0.0065919
                      3,                 1.1336,                0.60784,                 0.8765,                0.76279,                  0.689,                0.74816,                 0.4673,                 1.1034,                0.63017,                0.92192,              0.0097933,              0.0097933,              0.0097933
                      4,                 1.1186,                0.59732,                0.87643,                0.70352,                0.71927,                0.75033,                0.47758,                 1.0709,                0.63066,                0.91239,               0.009703,               0.009703,               0.009703
                      5,                 1.0669,                0.56322,                0.86873,                 0.7506,                0.73253,                 0.7851,                0.51509,                 1.0279,                0.54817,                0.90012,               0.009703,               0.009703,               0.009703
                      6,                 1.0333,                0.53668,                0.86437,                 0.7679,                0.75997,                0.79179,                0.52347,                0.99781,                0.52677,                0.89105,               0.009604,               0.009604,               0.009604
                      7,                 1.0098,                0.52065,                0.85992,                0.80996,                0.72998,                0.79173,                0.51912,                 1.0159,                0.52468,                0.89604,               0.009505,               0.009505,               0.009505
                      8,                0.98547,                0.50579,                 0.8568,                0.77915,                0.76045,                0.80049,                0.53606,                0.97586,                0.51009,                 0.8856,               0.009406,               0.009406,               0.009406
                      9,                0.97029,                0.49282,                0.85293,                0.76066,                0.77615,                0.80291,                0.53986,                0.96341,                0.49281,                0.88236,               0.009307,               0.009307,               0.009307
                     10,                 0.9627,                0.48972,                0.85253,                0.77634,                0.75991,                0.80629,                0.54323,                0.96705,                0.49062,                0.88384,               0.009208,               0.009208,               0.009208
                     11,                0.95065,                0.48152,                0.85059,                0.76738,                 0.7927,                0.81353,                0.54526,                0.96034,                0.48114,                0.88197,               0.009109,               0.009109,               0.009109
                     12,                0.94621,                 0.4756,                0.84914,                0.80366,                0.77765,                0.81566,                0.55042,                0.96616,                0.47336,                0.88378,                0.00901,                0.00901,                0.00901
                     13,                0.93279,                0.46657,                0.84811,                0.78319,                0.78832,                0.82229,                0.56122,                0.94277,                0.46874,                0.87547,               0.008911,               0.008911,               0.008911
                     14,                0.93315,                0.46594,                0.84583,                 0.8192,                0.78541,                0.81973,                0.55718,                0.94357,                 0.4657,                0.87853,               0.008812,               0.008812,               0.008812
                     15,                0.92038,                0.45896,                0.84535,                0.79599,                0.79097,                0.82621,                0.56536,                0.94558,                0.46013,                0.87569,               0.008713,               0.008713,               0.008713
                     16,                0.91804,                 0.4558,                0.84434,                0.80091,                 0.7975,                0.83261,                0.56641,                0.94021,                0.45376,                0.87446,               0.008614,               0.008614,               0.008614
                     17,                0.91078,                 0.4512,                 0.8434,                0.79281,                0.81349,                 0.8276,                0.56961,                 0.9274,                 0.4513,                0.87215,               0.008515,               0.008515,               0.008515
                     18,                0.90471,                0.44768,                0.84184,                0.79175,                0.80425,                0.82885,                0.56499,                0.94146,                0.45191,                 0.8738,               0.008416,               0.008416,               0.008416
                     19,                0.90092,                0.44618,                0.84216,                0.79966,                0.78626,                0.83134,                0.57293,                0.92516,                0.44587,                0.87155,               0.008317,               0.008317,               0.008317
                     20,                0.89609,                0.43981,                0.83863,                0.81192,                0.80861,                0.83816,                0.57785,                0.91814,                0.43933,                0.87101,               0.008218,               0.008218,               0.008218
                     21,                0.88838,                0.43708,                0.83927,                 0.8247,                0.80526,                 0.8349,                0.57346,                0.91034,                0.44031,                0.86907,               0.008119,               0.008119,               0.008119
                     22,                0.89058,                0.43597,                0.83825,                0.80403,                0.81908,                0.84569,                0.58411,                0.90567,                0.43514,                0.86842,                0.00802,                0.00802,                0.00802
                     23,                0.88818,                0.43705,                0.83929,                0.81513,                0.81041,                0.83694,                0.58034,                0.90243,                0.43249,                0.86714,               0.007921,               0.007921,               0.007921
                     24,                0.88097,                0.43093,                 0.8366,                0.81409,                0.81513,                0.83929,                  0.582,                0.90068,                0.42766,                0.86455,               0.007822,               0.007822,               0.007822
                     25,                0.88136,                0.42913,                0.83744,                0.81031,                0.81057,                0.84364,                0.58752,                0.90105,                0.42515,                0.86631,               0.007723,               0.007723,               0.007723
                     26,                0.87779,                0.42973,                0.83701,                 0.8217,                0.81649,                0.84276,                 0.5885,                0.90593,                0.42503,                0.86619,               0.007624,               0.007624,               0.007624
                     27,                0.86845,                0.42418,                0.83509,                 0.8059,                0.82196,                0.84646,                 0.5917,                0.89328,                0.41876,                 0.8641,               0.007525,               0.007525,               0.007525
                     28,                0.87582,                0.42634,                0.83497,                0.82689,                0.81814,                0.85123,                0.59644,                0.88999,                0.41768,                0.86079,               0.007426,               0.007426,               0.007426
                     29,                0.86211,                0.42039,                0.83387,                0.81075,                0.82841,                0.84349,                0.58906,                0.89288,                0.41774,                0.86302,               0.007327,               0.007327,               0.007327
                     30,                0.86411,                0.41932,                0.83429,                0.80283,                0.83505,                0.84957,                0.59364,                0.88617,                 0.4158,                0.86018,               0.007228,               0.007228,               0.007228
                     31,                0.86178,                0.41825,                0.83494,                0.82651,                0.81795,                0.85566,                0.60193,                0.88268,                0.41105,                0.86074,               0.007129,               0.007129,               0.007129
                     32,                0.86177,                0.41763,                0.83181,                0.81514,                0.83342,                0.85392,                0.59972,                0.88342,                 0.4135,                0.85863,                0.00703,                0.00703,                0.00703
                     33,                0.85358,                0.41459,                0.83229,                0.81837,                  0.831,                0.85232,                0.60055,                0.88355,                0.40909,                0.85956,               0.006931,               0.006931,               0.006931
                     34,                0.85214,                0.41199,                0.83096,                0.81996,                0.83899,                0.85679,                0.60067,                0.88281,                0.40642,                0.86309,               0.006832,               0.006832,               0.006832
                     35,                0.84855,                0.41003,                0.83182,                 0.8151,                0.83176,                0.85448,                0.60112,                0.87865,                0.40631,                0.86213,               0.006733,               0.006733,               0.006733
                     36,                0.84424,                0.40826,                0.82989,                0.81952,                0.83449,                0.85191,                0.59763,                0.87918,                 0.4069,                0.85955,               0.006634,               0.006634,               0.006634
